Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,1684.704956,1693.972656,1675.235840,1681.481445,1328.731812,4387526
2019-08-13,1685.712402,1700.218262,1681.973145,1696.390381,1340.512695,11371382
2019-08-14,1698.002197,1705.366943,1663.953491,1671.810913,1321.089722,9072547
2019-08-15,1666.975464,1673.422607,1644.612183,1657.707764,1309.945068,8272070
2019-08-16,1663.147583,1674.228516,1654.081421,1670.199097,1319.816040,5775770
2019-08-19,1669.594727,1682.287354,1664.759399,1676.847656,1325.069702,6098040
2019-08-20,1681.682983,1692.965454,1673.019653,1678.660889,1326.502808,7941487
2019-08-21,1675.437256,1697.397705,1671.630493,1697.397705,1341.308716,7237606
2019-08-22,1691.958008,1699.815430,1680.071167,1688.331543,1334.144409,8598434
2019-08-23,1705.053711,1714.724243,1700.218262,1703.643433,1346.244263,5994649
2019-08-27,1703.240356,1708.680176,1685.108032,1699.613892,1343.060181,10392448
2019-08-28,1697.397705,1717.544922,1685.108032,1704.852173,1347.199341,5585876
2019-08-29,1702.434448,1728.625854,1694.980103,1721.977295,1360.731812,5086766
2019-08-30,1727.215454,1733.058228,1718.552246,1724.193481,1362.483276,6890621
2019-09-02,1724.596436,1757.637695,1713.515503,1749.578857,1382.543213,4297038
2019-09-03,1758.040649,1768.114258,1746.959717,1756.227417,1387.796875,11346507
2019-09-04,1766.703979,1780.001099,1748.369995,1758.040649,1389.229614,6564370
2019-09-05,1757.839233,1759.047974,1714.321411,1714.321411,1354.682129,8436548
2019-09-06,1718.955200,1732.385254,1708.478760,1727.819946,1365.348877,7144363
2019-09-09,1735.475952,1744.340576,1681.078491,1691.555054,1336.691650,8086431
2019-09-10,1668.587280,1676.847656,1634.337158,1653.678345,1306.761230,12540265
2019-09-11,1666.975464,1667.982910,1638.568115,1662.140259,1313.447754,10694750
2019-09-12,1665.162354,1681.884399,1653.476929,1674.228516,1323.000366,9875813
2019-09-13,1668.990356,1672.616699,1643.604858,1654.443970,1307.365967,5943236
2019-09-16,1636.956299,1654.484253,1634.337158,1639.172485,1295.298218,7462481
2019-09-17,1643.403442,1664.557861,1640.784180,1657.909302,1310.104614,5823780
2019-09-18,1658.312256,1663.147583,1651.663696,1659.118042,1311.059692,5564006
2019-09-19,1656.499023,1674.026978,1653.678345,1669.997559,1319.656494,8464525
2019-09-20,1661.334351,1690.547729,1658.513672,1683.899048,1330.641846,18446560
2019-09-23,1685.108032,1710.291870,1682.488770,1698.203613,1341.945679,27095125
2019-09-24,1706.463989,1719.559570,1695.987427,1712.508057,1353.249268,8229915
2019-09-25,1701.225708,1705.859497,1687.122681,1692.360962,1337.328613,6708942
2019-09-26,1687.928589,1739.505249,1685.712402,1723.790527,1362.164795,7753961
2019-09-27,1716.537476,1741.520020,1716.537476,1737.692139,1373.150146,7961067
2019-09-30,1755.824463,1777.583374,1740.915649,1757.436279,1388.752075,11267331
2019-10-01,1743.937744,1761.264160,1737.289063,1743.333252,1377.607666,11870664
2019-10-02,1735.878784,1783.627563,1674.026978,1682.287354,1329.368408,9490776
2019-10-03,1689.338867,1693.368286,1663.550537,1682.891846,1329.846191,8780040
2019-10-04,1688.532959,1712.810303,1681.481445,1711.500854,1352.453247,5722393
2019-10-07,1707.471313,1729.431641,1704.247803,1728.021362,1365.508179,4757526
2019-10-08,1734.670044,1745.348022,1725.603760,1725.603760,1363.597656,9522150
2019-10-09,1716.134644,1745.146484,1714.522827,1733.058228,1369.488281,7767232
