Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,49.849998,49.849998,49.820000,49.840000,47.108185,52200
2022-11-02,49.840000,49.849998,49.830002,49.849998,47.117622,54200
2022-11-03,49.880001,49.880001,49.840000,49.860001,47.127087,80800
2022-11-04,49.880001,49.880001,49.860001,49.880001,47.145985,97800
2022-11-07,49.889999,49.889999,49.869999,49.880001,47.145985,98600
2022-11-08,49.900002,49.900002,49.869999,49.889999,47.155441,107200
2022-11-09,49.919998,49.919998,49.889999,49.910000,47.174339,74800
2022-11-10,49.910000,49.919998,49.900002,49.919998,47.183788,26000
2022-11-11,49.919998,49.930000,49.910000,49.919998,47.183788,57300
2022-11-14,49.910000,49.938000,49.910000,49.930000,47.193241,75800
2022-11-15,49.930000,49.930000,49.910000,49.910000,47.174339,75100
2022-11-16,49.910000,49.910000,49.840000,49.849998,47.188541,87000
2022-11-17,49.860001,49.880001,49.860001,49.880001,47.216938,353400
2022-11-18,49.880001,49.900002,49.860001,49.875000,47.212208,120200
2022-11-21,49.889999,49.889999,49.869999,49.880001,47.216938,135300
2022-11-22,49.900002,49.900002,49.880001,49.889999,47.226410,135800
2022-11-23,49.959999,49.959999,49.889999,49.910000,47.245335,174400
2022-11-25,49.915001,49.918999,49.910000,49.915001,47.250072,11500
2022-11-28,49.919998,49.930000,49.910000,49.930000,47.264271,40000
2022-11-29,49.930000,49.930000,49.919998,49.930000,47.264271,71500
2022-11-30,49.930000,49.939999,49.919998,49.939999,47.273735,61600
2022-12-01,49.860001,49.880001,49.860001,49.880001,47.287956,75900
2022-12-02,49.860001,49.889999,49.860001,49.889999,47.297436,72800
2022-12-05,49.869999,49.889999,49.869999,49.880001,47.287956,157400
2022-12-06,49.880001,49.900002,49.880001,49.900002,47.306908,134100
2022-12-07,49.900002,49.919998,49.889999,49.919998,47.325871,131700
2022-12-08,49.910000,49.930000,49.910000,49.930000,47.335350,34100
2022-12-09,49.910000,49.930000,49.910000,49.930000,47.335350,33800
2022-12-12,49.950001,49.950001,49.919998,49.924999,47.330624,122800
2022-12-13,49.919998,49.939999,49.919998,49.939999,47.344837,98900
2022-12-14,49.959999,49.959999,49.939999,49.950001,47.354317,74500
2022-12-15,49.970001,49.970001,49.950001,49.959999,47.363792,106300
2022-12-16,49.889999,49.889999,49.869999,49.880001,47.368546,137000
2022-12-19,49.889999,49.910000,49.869999,49.889999,47.378040,189500
2022-12-20,49.880001,49.889999,49.880001,49.889999,47.378040,87200
2022-12-21,49.900002,49.959999,49.889999,49.895000,47.382790,96400
2022-12-22,49.900002,49.980000,49.900002,49.915001,47.401783,88000
2022-12-23,49.925999,49.950001,49.910000,49.950001,47.435024,70900
2022-12-27,49.930000,49.950001,49.915001,49.924999,47.411285,176400
2022-12-28,49.849998,49.849998,49.830002,49.845001,47.417931,83600
2022-12-29,49.849998,49.869999,49.849998,49.865002,47.436970,101200
2022-12-30,49.889999,49.889999,49.860001,49.860001,47.432205,109400
2023-01-03,49.869999,49.880001,49.849998,49.869999,47.441727,151300
2023-01-04,49.880001,49.880001,49.869999,49.880001,47.451237,164900
2023-01-05,49.900002,49.900002,49.869999,49.880001,47.451237,122900
2023-01-06,49.880001,49.889999,49.872002,49.889999,47.460743,161700
2023-01-09,49.900002,49.900002,49.869999,49.884998,47.455990,124300
2023-01-10,49.900002,49.900002,49.880001,49.889999,47.460743,67700
2023-01-11,49.880001,49.910000,49.880001,49.910000,47.479771,58100
2023-01-12,49.939999,49.939999,49.919998,49.935001,47.503559,164100
2023-01-13,49.919998,49.939999,49.919998,49.939999,47.508312,55000
2023-01-17,49.939999,49.950001,49.930000,49.939999,47.508312,281200
2023-01-18,49.990002,49.990002,49.930000,49.950001,47.517830,96700
2023-01-19,49.980000,49.990002,49.950001,49.970001,47.536861,123200
2023-01-20,49.959999,49.980000,49.959999,49.980000,47.546364,76000
2023-01-23,49.959999,49.980000,49.959999,49.970001,47.536861,86600
2023-01-24,50.000000,50.000000,49.970001,49.990002,47.555878,192100
2023-01-25,50.000000,50.000000,49.980000,49.985001,47.551121,51400
2023-01-26,50.009998,50.029999,50.000000,50.009998,47.574905,369000
2023-01-27,50.000000,50.009998,50.000000,50.009998,47.574905,52900
2023-01-30,50.040001,50.040001,50.009998,50.014999,47.579659,114000
2023-01-31,50.029999,50.029999,50.020000,50.025002,47.589176,94300
2023-02-01,49.860001,49.880001,49.849998,49.869999,47.614960,139300
2023-02-02,49.880001,49.880001,49.869999,49.880001,47.624500,180900
2023-02-03,49.910000,49.910000,49.869999,49.880001,47.624500,274000
2023-02-06,49.900002,49.900002,49.880001,49.889999,47.634052,116400
2023-02-07,49.889999,49.900002,49.880001,49.889999,47.634052,148100
2023-02-08,49.900002,49.900002,49.889999,49.900002,47.643597,128600
2023-02-09,49.919998,49.939999,49.900002,49.919998,47.662693,220800
2023-02-10,49.919998,49.919998,49.910000,49.919998,47.662693,138800
2023-02-13,49.919998,49.919998,49.910000,49.910000,47.653149,151500
2023-02-14,49.930000,49.930000,49.910000,49.924999,47.667473,159000
2023-02-15,49.939999,49.978001,49.919998,49.939999,47.681793,93100
2023-02-16,49.970001,49.970001,49.950001,49.959999,47.700882,126100
2023-02-17,49.980000,49.980000,49.953999,49.970001,47.710434,752500
2023-02-21,49.980000,50.000000,49.959999,49.970001,47.710434,248600
2023-02-22,49.990002,49.990002,49.970001,49.980000,47.719978,235700
2023-02-23,50.000000,50.000000,49.990002,50.000000,47.739075,211200
2023-02-24,50.009998,50.009998,49.990002,50.000000,47.739075,204700
2023-02-27,50.009998,50.020000,50.000000,50.020000,47.758179,409500
2023-02-28,50.020000,50.029999,50.009998,50.029999,47.767715,352000
2023-03-01,49.869999,49.869999,49.830002,49.849998,47.775394,359500
2023-03-02,49.869999,49.869999,49.860001,49.869999,47.794559,512500
2023-03-03,49.889999,49.889999,49.860001,49.869999,47.794559,397700
2023-03-06,49.889999,49.889999,49.869999,49.880001,47.804138,366400
2023-03-07,49.849998,49.880001,49.849998,49.880001,47.804138,421700
2023-03-08,49.889999,49.904999,49.880001,49.900002,47.823307,301900
2023-03-09,49.889999,49.900002,49.889999,49.900002,47.823307,467100
2023-03-10,49.910000,49.910000,49.900002,49.910000,47.832893,611700
2023-03-13,49.959999,49.959999,49.910000,49.939999,47.861645,810400
2023-03-14,49.910000,49.930000,49.910000,49.930000,47.852058,399000
2023-03-15,49.950001,49.970001,49.939999,49.970001,47.890396,531600
2023-03-16,50.000000,50.000000,49.959999,49.980000,47.899975,531000
2023-03-17,50.000000,50.000000,49.980000,49.980000,47.899975,361900
2023-03-20,50.000000,50.000000,49.980000,49.990002,47.909565,392200
2023-03-21,49.990002,50.000000,49.990002,50.000000,47.919144,361100
2023-03-22,50.000000,50.028999,49.990002,50.009998,47.928734,309900
2023-03-23,50.029999,50.029999,50.009998,50.020000,47.938320,454900
2023-03-24,50.029999,50.040001,50.020000,50.020000,47.938320,356600
2023-03-27,50.029999,50.040001,50.020000,50.040001,47.957478,373200
2023-03-28,50.049999,50.060001,50.040001,50.049999,47.967064,456800
2023-03-29,50.070000,50.080002,50.049999,50.070000,47.986233,285700
2023-03-30,50.070000,50.080002,50.070000,50.080002,47.995823,296700
2023-03-31,50.080002,50.090000,50.070000,50.080002,47.995823,338700
2023-04-03,49.904999,49.919998,49.900002,49.910000,48.006393,600800
2023-04-04,49.919998,49.919998,49.910000,49.919998,48.016010,336700
2023-04-05,49.950001,49.950001,49.939999,49.950001,48.044872,210600
2023-04-06,49.959999,49.959999,49.939999,49.950001,48.044872,501600
2023-04-10,49.959999,49.959999,49.930000,49.930000,48.025631,446200
2023-04-11,49.950001,49.950001,49.930000,49.950001,48.044872,376400
